n,x_4d,y_4d,z_4d,w_4d,x_mm,y_mm,z_mm
63,-0.7663118961,-0.2368033989,-0.1463525492,0.3831559480,-42.5325404176,-13.1432778030,13.5060778084
64,-0.6199593469,0.1463525492,-0.1463525492,0.6199593469,-34.4095480118,8.1229924058,24.5657647249
65,0.5295084972,0.3831559480,0.6199593469,0.0000000000,29.3892626146,21.2662702088,18.5915581346
66,0.3831559480,-0.2368033989,0.4736067977,0.6199593469,21.2662702088,-13.1432778030,43.1573228595
67,0.0000000000,-0.2368033989,0.1463525492,0.8567627458,0.0000000000,-13.1432778030,44.4031946962
68,0.1463525492,0.3831559480,-0.7663118961,0.2368033989,8.1229924058,21.2662702088,-11.9207427456
69,-0.3831559480,-0.6199593469,-0.5295084972,0.0000000000,-21.2662702088,-34.4095480118,-15.8790863584
70,0.0000000000,-0.2368033989,-0.1463525492,-0.8567627458,0.0000000000,-13.1432778030,-44.4031946962
71,0.3831559480,0.5295084972,0.0000000000,-0.6199593469,21.2662702088,29.3892626146,-28.9546362523
72,-0.1463525492,0.2368033989,0.3831559480,-0.7663118961,-8.1229924058,13.1432778030,-24.2996838406
73,0.1463525492,-0.6199593469,0.1463525492,-0.6199593469,8.1229924058,-34.4095480118,-24.5657647249
74,0.2368033989,0.4736067977,-0.3831559480,-0.6199593469,13.1432778030,26.2865556060,-40.4448510833
75,-0.3831559480,-0.2368033989,-0.4736067977,-0.6199593469,-21.2662702088,-13.1432778030,-43.1573228595
76,0.1463525492,0.8567627458,0.0000000000,-0.2368033989,8.1229924058,47.5528258148,-11.0596869165
77,-0.4736067977,-0.3831559480,0.2368033989,0.6199593469,-26.2865556060,-21.2662702088,36.0559795559
78,0.0000000000,-0.5295084972,0.6199593469,-0.3831559480,0.0000000000,-29.3892626146,0.6966087989
79,-0.1463525492,0.2368033989,0.8567627458,0.0000000000,-8.1229924058,13.1432778030,25.6929014383
80,-0.6199593469,-0.3831559480,0.4736067977,0.2368033989,-34.4095480118,-21.2662702088,25.2623735237
81,-0.6199593469,0.1463525492,0.1463525492,-0.6199593469,-34.4095480118,8.1229924058,-24.5657647249
82,0.3831559480,0.0000000000,0.6199593469,-0.5295084972,21.2662702088,0.0000000000,-6.1386536205
83,0.3831559480,-0.6199593469,0.2368033989,-0.4736067977,21.2662702088,-34.4095480118,-15.0180305293
84,-0.3831559480,-0.2368033989,0.4736067977,-0.6199593469,-21.2662702088,-13.1432778030,-14.7519496450
85,-0.5295084972,0.0000000000,-0.3831559480,0.6199593469,-29.3892626146,0.0000000000,17.4644214212
86,0.1463525492,-0.7663118961,-0.2368033989,-0.3831559480,8.1229924058,-42.5325404176,-24.9962926394
87,0.2368033989,0.7663118961,0.3831559480,-0.1463525492,13.1432778030,42.5325404176,4.6549524117
88,-0.4736067977,-0.2368033989,-0.6199593469,0.3831559480,-26.2865556060,-13.1432778030,-0.6966087989
89,0.3831559480,0.5295084972,0.0000000000,0.6199593469,21.2662702088,29.3892626146,28.9546362523
90,-0.6199593469,0.6199593469,0.1463525492,0.1463525492,-34.4095480118,34.4095480118,11.2241339467
91,-0.3831559480,-0.2368033989,-0.4736067977,0.6199593469,-21.2662702088,-13.1432778030,14.7519496450
92,0.3831559480,-0.6199593469,-0.2368033989,0.4736067977,21.2662702088,-34.4095480118,15.0180305293
93,0.2368033989,-0.6199593469,-0.4736067977,0.3831559480,13.1432778030,-34.4095480118,3.6922627286
94,0.2368033989,0.3831559480,0.1463525492,-0.7663118961,13.1432778030,21.2662702088,-31.4010271442
95,0.3831559480,0.6199593469,0.5295084972,0.0000000000,21.2662702088,34.4095480118,15.8790863584
96,-0.7663118961,-0.3831559480,-0.2368033989,0.1463525492,-42.5325404176,-21.2662702088,-0.2660808843
97,0.6199593469,0.3831559480,0.0000000000,-0.5295084972,34.4095480118,21.2662702088,-24.7302117551
98,-0.3831559480,0.2368033989,0.7663118961,-0.1463525492,-21.2662702088,13.1432778030,16.1451672427
