x_mm,y_mm,z_mm
-28.6030701409,-39.5284707521,-9.1934076117
-28.6030701409,-28.6030701409,-27.7169200665
-28.6030701409,-28.6030701409,-20.4203871335
-28.6030701409,-35.3553390593,-20.7782651310
-10.9254006112,-35.3553390593,-14.5173679907
0.0000000000,-39.5284707521,-18.1656344572
-10.9254006112,-46.2807396705,-3.2903884690
-17.6776695297,-39.5284707521,-5.3239603790
0.0000000000,-46.2807396705,-11.2269795218
-28.6030701409,-17.6776695297,28.2959788302
-10.9254006112,-28.6030701409,33.9778172067
-10.9254006112,-10.9254006112,34.1989979730
-17.6776695297,-17.6776695297,36.2325698830
-28.6030701409,-28.6030701409,21.1361431285
-28.6030701409,-28.6030701409,9.7724663755
-17.6776695297,-35.3553390593,24.6477123638
0.0000000000,-17.6776695297,30.6874287378
0.0000000000,-28.6030701409,30.5507315065
0.0000000000,-17.6776695297,19.3237519848
-10.9254006112,-10.9254006112,15.8121827495
-17.6776695297,-17.6776695297,6.4820779066
-28.6030701409,-10.9254006112,21.3573238948
-28.6030701409,-17.6776695297,9.9091636068
-17.6776695297,-6.7522689184,25.0055903613
0.0000000000,-35.3553390593,19.1025712185
0.0000000000,-28.6030701409,12.1639162831
-17.6776695297,-35.3553390593,6.2608971403
-10.9254006112,-39.5284707521,15.4543047520
-10.9254006112,-28.6030701409,4.2273252303
-28.6030701409,6.7522689184,-39.5229583520
28.6030701409,6.7522689184,8.6143488480
28.6030701409,6.7522689184,-8.6143488480
0.0000000000,6.7522689184,48.4951851975
-28.6030701409,6.7522689184,8.6143488480
6.7522689184,0.0000000000,10.1303443730
0.0000000000,0.0000000000,-10.6479207580
10.9254006112,0.0000000000,-2.7113297052
-10.9254006112,0.0000000000,-2.7113297052
-6.7522689184,0.0000000000,10.1303443730
17.6776695297,10.9254006112,-4.9660823815
-46.2807396705,0.0000000000,3.8694472328
-46.2807396705,0.0000000000,15.2331239857
-39.5284707521,0.0000000000,24.6477123638
-39.5284707521,0.0000000000,6.2608971403
-35.3553390593,0.0000000000,19.1025712185
0.0000000000,6.7522689184,-48.4951851975
17.6776695297,6.7522689184,-25.0055903613
-28.6030701409,0.0000000000,39.1650803545
