p,dist,1/p,ap_a,ap_b_tr,ap_c_tr,max_ap,R,cos2pi_p,lemma41_pass,weil_ok
337,0.12832757,0.00296736,-20,30,76,76,2.069992,0.999826,False,True
347,0.01326508,0.00288184,18,46,-40,46,1.234705,0.999836,False,True
349,0.35841639,0.00286533,16,-24,-2,24,0.642345,0.999838,True,True
353,0.10177933,0.00283286,-15,4,39,39,1.03788,0.999842,False,True
359,0.21682374,0.00278552,22,-2,24,24,0.633336,0.999847,True,True
367,0.29645039,0.0027248,3,56,-61,61,1.592087,0.999853,False,True
373,0.18140598,0.00268097,26,-6,18,26,0.673114,0.999858,True,True
379,0.06636157,0.00263852,-11,0,-63,63,1.618046,0.999863,False,True
383,0.32299863,0.00261097,-19,10,-29,29,0.740915,0.999865,True,True
389,0.20795422,0.00257069,9,38,-43,43,1.090093,0.99987,False,True
397,0.27877165,0.00251889,-18,38,-34,38,0.953583,0.999875,True,True
401,0.02213459,0.00249377,-18,-46,2,46,1.148565,0.999877,False,True
409,0.49113953,0.00244499,-18,16,0,18,0.445021,0.999882,True,True
419,0.36726781,0.00238663,-28,-64,-8,64,1.563302,0.999888,False,True
421,0.26105072,0.0023753,-22,-26,2,26,0.633581,0.999889,True,True
431,0.40264337,0.00232019,-40,50,78,78,1.878564,0.999894,False,True
433,0.0309619,0.00230947,33,6,97,97,2.330761,0.999895,False,True
439,0.08408251,0.0022779,6,28,-82,82,1.956823,0.999898,False,True
