# 720 via positions -- Opera Numerorum -- Battle Plan v1.6
# David Fox -- June 2026
# M8E: 24 layers x 30 icosahedral edge midpoints, rotated 15 deg/layer
# H3 icosahedral symmetry. Substrate: Rogers 4350B, 0.1mm pitch.
# Total vias: 720 (same as M8G 120-cell). k_c(H3) ~ 2.13.
via_id,layer,angle_deg,x_mm,y_mm,z_mm,r_mm,theta_deg
182,7,90.0,1.314328,-2.126627,0.6,2.5,-58.2825
183,7,90.0,1.314328,2.126627,0.6,2.5,58.2825
184,7,90.0,0.0,0.0,0.6,0.0,0.0
185,7,90.0,3.440955,1.314328,0.6,3.683426,20.9052
186,7,90.0,2.126627,-3.440955,0.6,4.045085,-58.2825
187,7,90.0,3.440955,-1.314328,0.6,3.683426,-20.9052
188,7,90.0,4.253254,-0.0,0.6,4.253254,-0.0
189,7,90.0,2.126627,-3.440955,0.6,4.045085,-58.2825
190,7,90.0,-2.126627,-3.440955,0.6,4.045085,-121.7175
191,7,90.0,-1.314328,-2.126627,0.6,2.5,-121.7175
192,7,90.0,-0.0,-4.253254,0.6,4.253254,-90.0
193,7,90.0,3.440955,1.314328,0.6,3.683426,20.9052
194,7,90.0,1.314328,-2.126627,0.6,2.5,-58.2825
195,7,90.0,0.0,0.0,0.6,0.0,0.0
196,7,90.0,1.314328,2.126627,0.6,2.5,58.2825
197,7,90.0,-3.440955,-1.314328,0.6,3.683426,-159.0948
198,7,90.0,-2.126627,-3.440955,0.6,4.045085,-121.7175
199,7,90.0,-3.440955,-1.314328,0.6,3.683426,-159.0948
200,7,90.0,-4.253254,0.0,0.6,4.253254,180.0
201,7,90.0,-1.314328,2.126627,0.6,2.5,121.7175
202,7,90.0,2.126627,3.440955,0.6,4.045085,58.2825
203,7,90.0,-2.126627,3.440955,0.6,4.045085,121.7175
204,7,90.0,0.0,4.253254,0.6,4.253254,90.0
205,7,90.0,-3.440955,1.314328,0.6,3.683426,159.0948
206,7,90.0,2.126627,3.440955,0.6,4.045085,58.2825
207,7,90.0,-1.314328,-2.126627,0.6,2.5,-121.7175
208,7,90.0,-3.440955,1.314328,0.6,3.683426,159.0948
209,7,90.0,-1.314328,2.126627,0.6,2.5,121.7175
210,7,90.0,-2.126627,3.440955,0.6,4.045085,121.7175
211,8,105.0,3.66388,-0.378959,0.7,3.683426,-5.9052
212,8,105.0,1.819955,-1.713991,0.7,2.5,-43.2825
213,8,105.0,0.719132,2.394337,0.7,2.5,73.2825
214,8,105.0,0.0,0.0,0.7,0.0,0.0
215,8,105.0,2.983534,2.160128,0.7,3.683426,35.9052
216,8,105.0,2.944749,-2.773296,0.7,4.045085,-43.2825
217,8,105.0,3.66388,-0.378959,0.7,3.683426,-5.9052
218,8,105.0,4.108328,1.100823,0.7,4.253254,15.0
219,8,105.0,2.944749,-2.773296,0.7,4.045085,-43.2825
220,8,105.0,-1.163579,-3.874119,0.7,4.045085,-106.7175
221,8,105.0,-0.719132,-2.394337,0.7,2.5,-106.7175
222,8,105.0,1.100823,-4.108328,0.7,4.253254,-75.0
223,8,105.0,2.983534,2.160128,0.7,3.683426,35.9052
224,8,105.0,1.819955,-1.713991,0.7,2.5,-43.2825
225,8,105.0,0.0,0.0,0.7,0.0,0.0
